PROVINCIA,CANTON,Suma de Total Compras,Suma de Total Ventas,Suma de Ventas Netas 0%,Suma de Ventas Netas 12%,Suma de Habitantes,Suma de Importaciones,Suma de Exportaciones,Suma de Compras Rise,Suma de Compras netas 12%,Suma de Compras netas 0%
GUAYAS,MILAGRO,1533989943.2200003,1831208677.8799996,1079642202.0699997,689044970.4300002,199835,29494718.609999996,62521505.379999995,16848309.31,747394466.7399999,738228323.4999998
GUAYAS,NARANJAL,575641001.3599999,734971728.89,558388780.5799999,141422746.04,95052,3239890.6500000004,35160202.269999996,8252203.0600000005,223103719.55,341045188.1
GUAYAS,NARANJITO,145656579.48000002,177412676.98000005,104714564.97999999,72608248.66999999,43862,463132.57000000007,89863.33,9119729.64,84295311.22000003,51778406.04999999
GUAYAS,NOBOL,318807483.8900002,341900565.8799999,93051770.79999998,79413066.12999998,26444,149001957.35000002,169435728.95000002,965596.9500000002,99281555.23999992,69405073.36000001
GUAYAS,PALESTINA,80264708.95,88702938.46000001,69851252.47,18778278.610000003,18451,65348.310000000005,73409.78,211884.91000000003,26126112.450000003,53863163.27999999
GUAYAS,PEDRO CARBO,116675015.50999999,120799470.86000004,68160587.97,50436419.47,51802,436574.98,2202463.4200000004,395431.6400000001,68072849.77,47770159.11999999
GUAYAS,PLAYAS,203126988.84999996,241181721.42,134327772.75000003,106790883.14999999,59628,1192472.2400000002,63065.52,2315830.16,127720173.91000006,71898512.54000002
GUAYAS,SALITRE,103043646.99999996,110112502.80000001,76015462.19000001,33969208.75000001,65765,430849.32,127831.86,94701.84000000001,47650727.00999999,54867368.83
GUAYAS,SAMBORONDON,4651400706.17,5932054656.549997,2516686008.51,2129485912.7799993,102404,464208938.54999995,1285891938.5800002,37600936.83,2133184108.9,2008032742.42
GUAYAS,SAN JACINTO DE YAGUACHI,1324294020.9599996,1501827401.9,694953587.01,198817851.85000002,78204,225236878.04999998,608055963.0399997,8861098.559999999,297918686.87,791052270.96
GUAYAS,SANTA LUCIA,277766971.14000005,314556855.7700001,281529487.95000005,26003257.07999999,45004,6565842.359999999,7024110.74,965091.1599999999,49156397.91999997,221079639.69999993
GUAYAS,SIMON BOLIVAR,123222861.84999996,151871516.25,122205453.66999999,22887461.129999995,32224,64157.600000000006,6778601.45,5259522.6899999995,36264535.43000001,81634646.12999997
IMBABURA,ANTONIO ANTE,303367854.0000001,329383191.44000006,108938156.47000003,216115567.45000008,54311,20301860.570000004,4329467.5200000005,7774911.879999999,204365214.26999992,70925867.28000006
IMBABURA,COTACACHI,145190993.21999997,195230159.6700002,53887406.82000001,61300340.13000004,44203,3299782.749999999,80048960.72,2260218.76,93817590.53000005,45813401.18000001
IMBABURA,IBARRA,1889008581.2399993,2213358960.8199997,1049194384.1400006,1150939859.52,221149,34964075.78999999,13229584.270000003,24250510.9,1208753779.6799996,620024076.9299997
IMBABURA,OTAVALO,440193504.74000025,511153707.7099998,159309162.00000003,332993532.76000017,125785,35830126.04999999,18853420.27,6314052.5,316012767.6199999,82040063.55000001
IMBABURA,PIMAMPIRO,26249538.13000001,23791498,15206747.849999998,8584750.149999997,13269,3617.3900000000003,0,607628.79,15319784.82,10318507.129999999
IMBABURA,SAN MIGUEL DE URCUQUI,38273307.59,49350463.79999999,30219321.880000003,10606546.84,17540,572529.1199999999,8524595.079999998,1223051.3699999999,19790034.139999993,16687692.959999993
LOJA,CALVAS,80255621.19999999,74577836.76999995,33197867.96,41375714.94,29565,62274.37,4953.87,626145.54,51355327.75,28211873.54000002
LOJA,CATAMAYO,176688113.23000002,201024085.93999994,119186217.94999999,76572426.41000006,35961,1333086.4700000002,5265441.58,733957.0799999998,89966046.62000003,84573397.85999997
LOJA,CELICA,41548317.21,39306609.79,27416795.23,11888814.560000002,16160,62817.579999999994,0,896828.19,18440879.949999996,22146291.489999995
LOJA,CHAHUARPAMBA,17155139.379999995,13243121.639999997,9970526.149999995,3272595.4899999998,6620,5904.65,0,118403.23999999999,6847773.840000002,10183057.650000002
LOJA,ESPINDOLA,18475105.25,13168948.499999998,2514370.249999999,10654290.249999998,14209,16303.289999999999,288,144327.72,15619574.740000002,2694899.500000001
